0,94
1,76
2,7
3,14
4,17
5,63
6,16
7,78
8,24
9,6
10,21
11,94
12,37
13,34
14,52
15,58
16,2
17,30
18,98
19,74
20,97
21,79
22,19
23,68
24,11
25,54
26,3
27,15
28,84
29,50
30,86
31,26
32,97
33,83
34,26
35,86
36,87
37,82
38,32
39,16
40,94
41,53
42,71
43,90
44,36
45,83
46,47
47,38
48,97
49,57
50,83
51,34
52,67
53,47
54,29
55,15
56,56
57,39
58,2
59,63
60,60
61,0
62,93
63,74
64,19
65,94
66,96
67,53
68,8
69,66
70,71
71,19
72,98
73,82
74,79
75,43
76,8
77,28
78,31
79,27
80,7
81,64
82,18
83,27
84,66
85,52
86,59
87,50
88,54
89,10
90,29
91,48
92,80
93,69
94,55
95,94
96,59
97,96
98,71
99,41
100,87
101,93
102,30
103,31
104,85
105,64
106,36
107,85
108,67
109,85
110,6
111,27
112,7
113,74
114,55
115,96
116,81
117,66
118,7
119,66
120,35
121,46
122,99
123,97
124,36
125,23
126,39
127,28
128,26
129,85
130,84
131,12
132,57
133,89
134,40
135,13
136,33
137,87
138,41
139,2
140,15
141,74
142,82
143,68
144,3
145,1
146,40
147,5
148,13
149,59
150,13
151,92
152,88
153,5
154,6
155,40
156,93
157,32
158,94
159,62
160,24
161,7
162,59
163,82
164,1
165,94
166,70
167,17
168,34
169,41
170,62
171,93
172,24
173,5
174,50
175,61
176,63
177,30
178,93
179,34
180,82
181,33
182,14
183,66
184,72
185,91
186,23
187,52
188,83
189,99
190,20
191,0
192,93
193,79
194,77
195,8
196,15
197,0
198,67
199,9
200,31
201,23
202,71
203,72
204,97
205,19
206,68
207,83
208,54
209,45
210,76
211,62
212,39
213,59
214,79
215,91
216,92
217,92
218,9
219,10
220,71
221,18
222,34
223,34
224,21
225,61
226,0
227,45
228,27
229,42
230,45
231,63
232,63
233,84
234,3
235,59
236,62
237,42
238,69
239,52
240,22
241,40
242,97
243,37
244,23
245,57
246,61
247,33
248,99
249,86
250,15
251,22
252,90
253,56
254,38
255,12
256,88
257,36
258,50
259,36
260,18
261,23
262,55
